Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Sat,2017-04-22,,Arsenal,,Notts County,,,,Match Report,Match Cancelled
Sat,2017-04-22,18:00,Bristol City,1–3,Reading,1127,Ashton Gate Stadium,Robert Massey Ellis,Match Report,
Sun,2017-04-23,14:00,Yeovil Town,1–4,Liverpool,1897,Huish Park Stadium,Richard Holme,Match Report,
Sun,2017-04-23,14:00,Birmingham City,0–0,Sunderland,442,Damson Park,Timothy Walker,Match Report,
Fri,2017-04-28,19:00,Liverpool,4–2,Reading,466,Select Security Stadium,Matt Donohue,Match Report,
Sat,2017-04-29,,Notts County,,Birmingham City,,,,Match Report,Match Cancelled
Sun,2017-04-30,14:00,Sunderland,0–0,Arsenal,577,Eppleton Colliery Football Ground,Rebecca Welch,Match Report,
Sun,2017-04-30,14:00,Chelsea,6–0,Yeovil Town,1077,Wheatsheaf Park,Ian Fissenden,Match Report,
Tue,2017-05-02,,Notts County,,Sunderland,,,,Match Report,Match Cancelled
Wed,2017-05-03,19:00,Manchester City,1–1,Birmingham City,2440,Academy Stadium,Joseph Johnson,Match Report,
Wed,2017-05-03,19:00,Yeovil Town,2–3,Bristol City,312,Viridor Stadium,Marc Whaley,Match Report,
Wed,2017-05-03,19:35,Reading,0–4,Chelsea,797,Adams Park,Chris O'Donnell,Match Report,
Thu,2017-05-04,19:30,Arsenal,4–4,Liverpool,696,The Hive Stadium,David Rock,Match Report,
Sat,2017-05-06,,Chelsea,,Notts County,,,,Match Report,Match Cancelled
Sat,2017-05-06,18:00,Sunderland,1–0,Bristol City,277,Eppleton Colliery Football Ground,Helen Conley,Match Report,
Sun,2017-05-07,14:00,Birmingham City,0–2,Liverpool,1110,St Andrew's Trillion Trophy Stadium,Robbie Dadley,Match Report,
Sun,2017-05-07,14:00,Reading,2–3,Manchester City,579,Adams Park,Paul Forrester,Match Report,
Sun,2017-05-07,14:00,Yeovil Town,1–5,Arsenal,824,Viridor Stadium,Scott Jackson,Match Report,
Tue,2017-05-09,19:00,Bristol City,0–3,Manchester City,875,Stoke Gifford Stadium,Savvas Yianni,Match Report,
Wed,2017-05-17,,Notts County,,Manchester City,,,,Match Report,Match Cancelled
Wed,2017-05-17,19:00,Yeovil Town,0–1,Reading,356,Viridor Stadium,Martin Underhay,Match Report,
Wed,2017-05-17,19:00,Liverpool,4–0,Sunderland,441,Select Security Stadium,Martin Woods,Match Report,
Wed,2017-05-17,19:35,Chelsea,2–2,Arsenal,1009,Wheatsheaf Park,Aji Ajibola,Match Report,
Wed,2017-05-17,19:45,Birmingham City,2–0,Bristol City,419,Damson Park,Sarah Garratt,Match Report,
Sat,2017-05-20,,Reading,,Notts County,,,,Match Report,Match Cancelled
Sat,2017-05-20,13:00,Arsenal,4–2,Birmingham City,1070,The Hive Stadium,Neil Morrison,Match Report,
Sat,2017-05-20,18:00,Bristol City,1–1,Liverpool,1142,Stoke Gifford Stadium,Adam Ricketts,Match Report,
Sun,2017-05-21,14:00,Sunderland,0–7,Chelsea,775,Eppleton Colliery Football Ground,Lucy Oliver,Match Report,
Sun,2017-05-21,14:00,Manchester City,5–1,Yeovil Town,1153,Academy Stadium,Paul Graham,Match Report,
Thu,2017-05-25,19:00,Manchester City,1–0,Chelsea,1069,Academy Stadium,Simeon Lucas,Match Report,
Sat,2017-05-27,,Notts County,,Bristol City,,,,Match Report,Match Cancelled
Sun,2017-05-28,12:00,Manchester City,0–1,Arsenal,1808,Academy Stadium,Anthony Tankard,Match Report,
Sun,2017-05-28,12:05,Chelsea,7–0,Liverpool,1654,Wheatsheaf Park,Jakub Myles,Match Report,
Sun,2017-05-28,14:00,Yeovil Town,1–2,Sunderland,331,Fairfax Park,Simon Shaw,Match Report,
Sun,2017-05-28,14:00,Reading,1–1,Birmingham City,536,Adams Park,Stephen Bates,Match Report,
Tue,2017-05-30,,Liverpool,,Notts County,,,,Match Report,Match Cancelled
Wed,2017-05-31,19:00,Sunderland,0–1,Manchester City,1054,Eppleton Colliery Football Ground,Andrew Miller,Match Report,
Wed,2017-05-31,19:05,Bristol City,0–4,Chelsea,823,Stoke Gifford Stadium,Richard Hulme,Match Report,
Wed,2017-05-31,19:30,Arsenal,1–0,Reading,870,The Hive Stadium,Alan Dale,Match Report,
Wed,2017-05-31,19:45,Birmingham City,0–0,Yeovil Town,625,Damson Park,Matthew Law,Match Report,
Fri,2017-06-02,,Yeovil Town,,Notts County,,,,Match Report,Match Cancelled
Sat,2017-06-03,15:30,Bristol City,0–5,Arsenal,1050,Stoke Gifford Stadium,Samuel Allison,Match Report,
Sat,2017-06-03,15:30,Sunderland,1–1,Reading,464,Eppleton Colliery Football Ground,Paul Brown,Match Report,
Sat,2017-06-03,15:30,Birmingham City,0–2,Chelsea,1171,Damson Park,Daniel Middleton,Match Report,
Sat,2017-06-03,15:30,Liverpool,1–3,Manchester City,1508,Select Security Stadium,Peter Gibbons,Match Report,
