,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
1,Kelly Aldridge,eng ENG,MFFW,Yeovil Town,,,15,10,943,10.5,0,1,0,0,0,0,0,0.00,0.10,0.10,0.00,0.10,Matches,54137442
2,Flo Allen,eng ENG,MFDF,Bristol City,17,1999,14,12,1061,11.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,05fae887
3,Remi Allen,eng ENG,MF,Reading,26,1990,18,18,1590,17.7,9,5,9,0,0,2,0,0.51,0.28,0.79,0.51,0.79,Matches,29bbd006
4,Eniola Aluko,eng ENG,FW,Chelsea,30,1987,13,6,560,6.2,6,2,6,0,0,0,0,0.96,0.32,1.29,0.96,1.29,Matches,d13cfb64
5,Jonna Andersson,se SWE,MFDF,Chelsea,24,1993,10,8,749,8.3,3,2,3,0,0,0,0,0.36,0.24,0.60,0.36,0.60,Matches,5f50a940
6,Chloe Arthur,sct SCO,MF,Bristol City,22,1995,15,15,1283,14.3,1,1,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14,Matches,e91e309c
7,Anita Asante,eng ENG,DF,Chelsea,32,1985,4,4,360,4.0,0,1,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25,Matches,3f052127
8,Freda Ayisi,eng ENG,FWDF,Birmingham City,22,1994,8,2,233,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bd99ff70
9,Rinsola Babajide,eng ENG,FW,Liverpool,19,1998,4,0,72,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ca9f6f0a
10,Ramona Bachmann,ch SUI,FW,Chelsea,26,1990,12,10,807,9.0,0,4,0,0,0,0,0,0.00,0.45,0.45,0.00,0.45,Matches,28392158
11,Sophie Baggaley,eng ENG,GK,Bristol City,20,1996,17,17,1530,17.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,410be8c7
12,Karen Bardsley,eng ENG,GK,Manchester City,32,1984,7,7,550,6.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7c903a2d
13,Katie Barker,eng ENG,MF,Sunderland,,,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,04228be7
14,Molly Bartrip,eng ENG,MFDF,Reading,21,1996,6,6,508,5.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,a6f1d507
15,Jennifer Beattie,sct SCO,DF,Manchester City,26,1991,18,17,1527,17.0,2,1,2,0,0,2,0,0.12,0.06,0.18,0.12,0.18,Matches,bd8b51ce
16,Ann-Katrin Berger,de GER,GK,Birmingham City,26,1990,14,14,1214,13.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,be9f3298
17,Julie Biesmans,be BEL,MFFW,Bristol City,23,1994,16,16,1398,15.5,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches,a022380f
18,Annabel Blanchard,eng ENG,FW,Liverpool,16,2001,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,80c6cc07
19,Helen Bleazard,wls WAL,DF,Yeovil Town,26,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,86e0a7e3
