,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Alsu Abdullina,ru RUS,MFFW,Chelsea,20,2001,5,0,47,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,498165bd
2,Angela Addison,eng ENG,MFFW,Tottenham,21,1999,19,1,347,3.9,1,0,1,0,1,0,0,0.26,0.00,0.26,0.26,0.26,1.8,1.0,0.6,1.6,0.46,0.16,0.62,0.26,0.41,Matches,4fdc46a1
3,Asmita Ale,eng ENG,DFMF,Tottenham,19,2001,13,10,961,10.7,1,0,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,0.8,0.8,0.7,1.5,0.08,0.06,0.14,0.08,0.14,Matches,9b894b48
4,Remi Allen,eng ENG,MF,Aston Villa,30,1990,19,19,1694,18.8,3,0,3,0,0,2,0,0.16,0.00,0.16,0.16,0.16,2.2,2.2,0.4,2.6,0.12,0.02,0.14,0.12,0.14,Matches,29bbd006
5,Jonna Andersson,se SWE,MFDF,Chelsea,28,1993,20,11,1006,11.2,0,3,0,0,0,1,0,0.00,0.27,0.27,0.00,0.27,0.2,0.2,1.3,1.5,0.02,0.11,0.13,0.02,0.13,Matches,5f50a940
6,Filippa Angeldal,se SWE,MF,Manchester City,24,1997,15,6,652,7.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.7,1.8,0.15,0.10,0.25,0.15,0.25,Matches,71c3bd53
7,Anna Anvegard,se SWE,FWMF,Everton,24,1997,14,12,936,10.4,4,1,4,0,0,0,0,0.38,0.10,0.48,0.38,0.48,3.1,3.1,0.7,3.8,0.29,0.07,0.36,0.29,0.36,Matches,94aeea44
8,Mackenzie Arnold,au AUS,GK,West Ham,27,1994,18,18,1620,18.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,30f6344f
9,Chloe Arthur,sct SCO,MFFW,Aston Villa,26,1995,17,12,973,10.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.5,0.01,0.03,0.04,0.01,0.04,Matches,e91e309c
10,Anita Asante,eng ENG,DF,Aston Villa,36,1985,21,21,1889,21.0,1,0,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,0.2,0.2,0.1,0.3,0.01,0.00,0.01,0.01,0.01,Matches,3f052127
11,Rosella Ayane,ma MAR,FWMF,Tottenham,25,1996,17,7,754,8.4,1,0,0,1,1,3,0,0.12,0.00,0.12,0.00,0.00,1.6,0.8,0.5,1.3,0.19,0.06,0.25,0.09,0.15,Matches,41548209
12,Rinsola Babajide,eng ENG,FW,Brighton,23,1998,3,1,93,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.08,0.07,0.14,0.08,0.14,Matches,ca9f6f0a
13,Paige Bailey-Gayle,jm JAM,FWDF,Leicester City WFC,19,2001,12,4,358,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.4,0.08,0.02,0.09,0.08,0.09,Matches,ed407647
14,Ava Baker,eng ENG,FWMF,Leicester City WFC,15,2006,2,0,29,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.58,0.58,1.16,0.58,1.16,Matches,75cae050
15,Libby Bance,eng ENG,MF,Brighton,18,2003,3,1,111,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e50f3e03
16,Sophie Barker,eng ENG,MFDF,Leicester City WFC,30,1990,13,8,702,7.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches,fb2e2128
17,Molly Bartrip,eng ENG,DF,Tottenham,25,1996,22,22,1980,22.0,0,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,0.1,0.1,1.0,1.1,0.01,0.05,0.05,0.01,0.05,Matches,a6f1d507
18,Ona Batlle,es ESP,DF,Manchester Utd,22,1999,21,21,1869,20.8,1,3,1,0,0,2,0,0.05,0.14,0.19,0.05,0.19,0.9,0.9,2.1,3.0,0.04,0.10,0.14,0.04,0.14,Matches,2a2d32f9
19,Jennifer Beattie,sct SCO,DFMF,Arsenal,30,1991,9,7,586,6.5,1,0,1,0,0,0,0,0.15,0.00,0.15,0.15,0.15,0.7,0.7,0.1,0.7,0.10,0.01,0.11,0.10,0.11,Matches,bd8b51ce
20,Janine Beckie,ca CAN,FWDF,Manchester City,26,1994,11,5,503,5.6,1,0,1,0,0,1,0,0.18,0.00,0.18,0.18,0.18,1.2,1.2,0.4,1.6,0.21,0.07,0.28,0.21,0.28,Matches,43466fe0
21,Karima Benameur,fr FRA,GK,Manchester City,32,1989,10,10,900,10.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,eea7cfb1
22,Hanna Bennison,se SWE,MFFW,Everton,18,2002,22,10,1223,13.6,1,2,1,0,0,0,0,0.07,0.15,0.22,0.07,0.22,0.9,0.9,1.3,2.2,0.07,0.10,0.16,0.07,0.16,Matches,0ce72873
23,Ann-Katrin Berger,de GER,GK,Chelsea,30,1990,14,14,1188,13.2,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,be9f3298
24,Nathalie Björn,se SWE,DF,Everton,24,1997,16,14,1135,12.6,1,0,1,0,0,1,0,0.08,0.00,0.08,0.08,0.08,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches,ee84c793
25,Stina Blackstenius,se SWE,FW,Arsenal,25,1996,11,7,631,7.0,6,1,6,0,0,0,0,0.86,0.14,1.00,0.86,1.00,2.9,2.9,1.2,4.2,0.42,0.18,0.60,0.42,0.60,Matches,c6b9e97f
26,Julie Blakstad,no NOR,DFFW,Manchester City,19,2001,8,3,343,3.8,1,1,1,0,0,0,0,0.26,0.26,0.52,0.26,0.52,0.8,0.8,0.3,1.1,0.21,0.08,0.29,0.21,0.29,Matches,40e22487
27,Laura Blindkilde,eng ENG,MF,Aston Villa,17,2003,11,7,666,7.4,0,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,0.1,0.1,1.1,1.2,0.01,0.15,0.16,0.01,0.16,Matches,c203fd8a
28,Hannah Blundell,eng ENG,DF,Manchester Utd,27,1994,21,19,1768,19.6,0,5,0,0,0,2,0,0.00,0.25,0.25,0.00,0.25,0.7,0.7,1.9,2.6,0.04,0.09,0.13,0.04,0.13,Matches,fe9eaddc
29,Elysia Boddy,eng ENG,MF,Leicester City WFC,17,2004,2,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,1.39,1.39,0.00,1.39,Matches,02356e2f
30,Catherine Bott,nz NZL,DF,Leicester City WFC,26,1995,2,0,58,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,883e08a9
